features,n_features,scaler,model,seq_length,mse,rmse,mae,r2,mape
"('USPPIYY',)",1,Standard,CNN,50,0.0567204550226992,0.23816056563314422,0.20147111376217097,0.9404979295911614,157.67012311415277
"('USPPIYY',)",1,Standard,RNN,50,0.049924517282051765,0.22343794951183152,0.18333371689607983,0.9476271454230206,77.06068108199757
"('USPPIYY',)",1,Standard,ANN,50,0.06919543252616038,0.26305024715092057,0.22388273422383703,0.9274111694538781,179.74231463569913
"('USPPIYY',)",1,Standard,RANDOM_FOREST,N/A,0.015594754157301983,0.12487895802456866,0.06865713134505459,0.9836404669267028,42.00248520522502
"('USPPIYY',)",1,Standard,XGBOOST,N/A,0.02019301370656703,0.14210212421553392,0.07274752157489564,0.9788167051400778,65.15364035656344
"('INDPRO',)",1,MinMax,LSTM,50,0.006653477466919034,0.08156885108249984,0.061389242083999665,0.8970223803255358,45.795537497056046
"('INDPRO',)",1,MinMax,GRU,50,0.04802352346867677,0.21914270115309972,0.15688797836718965,0.25672730391388887,84.62592930457924
"('INDPRO',)",1,MinMax,CNN,50,0.006385240935213285,0.07990770260252315,0.0553390274932213,0.9011739476348308,42.20940111639338
"('INDPRO',)",1,MinMax,RNN,50,0.007217496108396539,0.0849558479940995,0.06447203682038155,0.8882929155546462,45.235264972618204
"('INDPRO',)",1,MinMax,ANN,50,0.009262632866421814,0.09624257304551773,0.0726368259345029,0.8566397963703836,47.96098867537854
"('INDPRO',)",1,MinMax,RANDOM_FOREST,N/A,7.184421343130697e-05,0.008476096591669244,0.003230406127893029,0.9988880482239063,2.2916871268058796
"('INDPRO',)",1,MinMax,XGBOOST,N/A,3.596081998802371e-05,0.0059967341101656085,0.004188544482476778,0.9994434249364605,1.6644869054619094
"('INDPRO',)",1,Standard,LSTM,50,0.062357830355207235,0.2497154988285814,0.16591353530382777,0.9345840929722256,102.84450334948234
"('INDPRO',)",1,Standard,GRU,50,0.08701272205368779,0.294979189187454,0.19468030208360654,0.9087201061410517,216.4281714268068
"('INDPRO',)",1,Standard,CNN,50,0.08506354213758642,0.29165654825082604,0.2078251642097483,0.9107648753616254,166.67497629079455
"('INDPRO',)",1,Standard,RNN,50,0.08192132063827387,0.28621900817079543,0.21703444661489435,0.9140611938558519,119.32709856770268
"('INDPRO',)",1,Standard,ANN,50,0.15509607235977194,0.3938223868189465,0.29102669164057393,0.8372978951950883,146.08456636117765
"('INDPRO',)",1,Standard,RANDOM_FOREST,N/A,0.0009047068334252398,0.030078344924966197,0.01212151371003468,0.9990509256373158,5.448347501375561
"('INDPRO',)",1,Standard,XGBOOST,N/A,0.00050359049003031,0.022440821955318616,0.01570542711740599,0.9994717130392728,18.258027620069363
