leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,mse,rmse,mae,r2,mape
"('UNRATE',)",1,Standard,GRU,50,Kalman,2.2349928434068893,1.4949892452479012,1.3492784339049808,-48.29599388649792,188.1122438915224
"('UNRATE',)",1,Standard,CNN,50,Kalman,1.8594553908463305,1.3636184916780538,1.1757043818808968,-40.01297319576632,172.94043152536506
"('UNRATE',)",1,Standard,RNN,50,Kalman,1.9572851247806555,1.3990300657171937,1.2890457133974187,-42.17074921736329,177.07466933466984
"('UNRATE',)",1,Standard,ANN,50,Kalman,1.5426907023018424,1.2420510063205303,1.0996699481951013,-33.02627066738391,155.80660242608099
"('UNRATE',)",1,Standard,RANDOM_FOREST,N/A,Kalman,3.4278719380400564,1.8514513058787305,1.7102562787101012,-74.60666451340258,258.6690679664616
"('UNRATE',)",1,Standard,XGBOOST,N/A,Kalman,2.7595102213065763,1.6611773599789326,1.5391491781365614,-59.864981917301016,238.36291146155887
"('USOIL',)",1,MinMax,LSTM,50,Kalman,0.5891399646160339,0.7675545352716209,0.7653643456009628,-209.09852566675144,313.45985771320295
"('USOIL',)",1,MinMax,GRU,50,Kalman,0.7314334710696154,0.8552388386115398,0.8533256190198533,-259.84309862630965,348.393576908832
"('USOIL',)",1,MinMax,CNN,50,Kalman,0.9401180607306888,0.969596854744635,0.9667020713305187,-334.26399561254215,394.8208740659515
"('USOIL',)",1,MinMax,RNN,50,Kalman,0.0051830923481787725,0.07199369658642882,0.052342528619976535,-0.8483893915713219,17.91189739938845
"('USOIL',)",1,MinMax,ANN,50,Kalman,0.6674036143325239,0.816947742718299,0.8076073478352412,-237.0088329049478,327.71440602457494
"('USOIL',)",1,MinMax,RANDOM_FOREST,N/A,Kalman,0.0052692483416405715,0.07258958838318738,0.065147705703227,-0.8791142588199314,28.299685613797525
"('USOIL',)",1,MinMax,XGBOOST,N/A,Kalman,0.005272390244856226,0.07261122671361658,0.0651691619901921,-0.8802347213127906,28.30960150901235
"('USOIL',)",1,Standard,LSTM,50,Kalman,0.06753547936481015,0.2598758922347553,0.174970616225029,-0.489592500356516,43.539552282384896
"('USOIL',)",1,Standard,GRU,50,Kalman,1.0636359283908643,1.0313272654162036,1.009189895592919,-22.460026003255507,151.41310245126823
"('USOIL',)",1,Standard,CNN,50,Kalman,0.6949871822070517,0.8336589123898644,0.8048891405621161,-14.328945677091841,117.54780311014663
"('USOIL',)",1,Standard,RNN,50,Kalman,3.8264562205929407,1.9561329762040567,1.9443261725194625,-83.39801631300386,306.9640978254237
"('USOIL',)",1,Standard,ANN,50,Kalman,0.05163454192876358,0.2272323522933378,0.19221648073066025,-0.1388743685516376,40.20920200233997
"('USOIL',)",1,Standard,RANDOM_FOREST,N/A,Kalman,0.08522473361942705,0.29193275530407176,0.2620074774906262,-0.8797545414407566,38.3406492342431
"('USOIL',)",1,Standard,XGBOOST,N/A,Kalman,0.08523674363688,0.29195332441484545,0.26202928995346875,-0.8800194397148979,38.342709344157115
"('USM2', 'USPPIYY')",2,MinMax,LSTM,50,Kalman,0.027340836958441247,0.1653506484971899,0.1642213225514536,-8.750262892464452,67.24684815062844
"('USM2', 'USPPIYY')",2,MinMax,GRU,50,Kalman,0.023390090057945952,0.15293819031865766,0.1524338191978063,-7.341351345244048,62.448411210188624
"('USM2', 'USPPIYY')",2,MinMax,CNN,50,Kalman,0.007828394205373554,0.08847821316783898,0.08521740031291036,-1.7917543871922916,35.7677884845751
"('USM2', 'USPPIYY')",2,MinMax,RNN,50,Kalman,0.011109171602313,0.10540005503942111,0.09741394937164798,-2.961742056568984,38.01988823784638
"('USM2', 'USPPIYY')",2,MinMax,ANN,50,Kalman,0.011659643033761186,0.10797982697597355,0.10159342407262342,-3.1580506472521943,43.36652309541518
"('USM2', 'USPPIYY')",2,MinMax,RANDOM_FOREST,N/A,Kalman,0.0070878615469915284,0.08418943845276276,0.0761343056733498,-1.5276663451672619,32.35071726099713
"('USM2', 'USPPIYY')",2,MinMax,XGBOOST,N/A,Kalman,0.007715702567157396,0.08783907198483712,0.07787384577312358,-1.751566403918034,33.991684968961216
"('USM2', 'USPPIYY')",2,Standard,LSTM,50,Kalman,0.11154953910600755,0.33399032786296007,0.30356808816447656,-1.460386132346243,40.82849389713714
"('USM2', 'USPPIYY')",2,Standard,GRU,50,Kalman,0.3473413534081411,0.589356728482963,0.5865830595324037,-6.661115016384154,98.82544462939559
"('USM2', 'USPPIYY')",2,Standard,CNN,50,Kalman,0.12304517694524328,0.3507779596058499,0.31062824234330527,-1.7139390214823584,45.8681979607514
"('USM2', 'USPPIYY')",2,Standard,RNN,50,Kalman,1.072110995586546,1.0354279287263533,1.0251790090912976,-22.646955845961013,168.58478103466433
"('USM2', 'USPPIYY')",2,Standard,ANN,50,Kalman,0.4100030165906453,0.6403147793004978,0.5110046898850101,-8.043208464367584,101.17709734995846
"('USM2', 'USPPIYY')",2,Standard,RANDOM_FOREST,N/A,Kalman,0.12349181938506172,0.3514140284409001,0.3171771931290301,-1.723790365323432,46.71269622951931
"('USM2', 'USPPIYY')",2,Standard,XGBOOST,N/A,Kalman,0.1266688541841959,0.3559056815845961,0.3148225455069243,-1.7938644545972826,42.537093125397476
"('USM2', 'INDPRO')",2,MinMax,LSTM,50,Kalman,0.04215454936763336,0.20531573093076275,0.1665964356549252,-14.033114716735039,61.966090393955675
"('USM2', 'INDPRO')",2,MinMax,GRU,50,Kalman,0.4705650836739837,0.6859774658645746,0.5504966151700398,-166.81246604886127,210.12915776844014
"('USM2', 'INDPRO')",2,MinMax,CNN,50,Kalman,0.06604555842232415,0.25699330423636363,0.21543262857653472,-22.55310331121603,81.56466342486605
"('USM2', 'INDPRO')",2,MinMax,RNN,50,Kalman,0.009574865299869364,0.09785124066596888,0.056992275531776035,-2.4145792235829293,18.59485500372439
"('USM2', 'INDPRO')",2,MinMax,ANN,50,Kalman,0.0241346589884572,0.1553533359424805,0.1290605874078868,-7.606878798740837,47.5644244754481
"('USM2', 'INDPRO')",2,MinMax,RANDOM_FOREST,N/A,Kalman,0.005119657773535951,0.0715517838599147,0.06414508702638451,-0.8257674147759768,27.8315152850926
"('USM2', 'INDPRO')",2,MinMax,XGBOOST,N/A,Kalman,0.005271408227442474,0.07260446423907055,0.06515341871202376,-0.8798845152103361,28.303567614829134
"('USM2', 'INDPRO')",2,Standard,LSTM,50,Kalman,0.052947544384246745,0.23010333414413348,0.19005279097147623,-0.1678345333277318,38.03181091273625
"('USM2', 'INDPRO')",2,Standard,GRU,50,Kalman,2.4302927564204184,1.5589396256495691,1.4233342718110626,-52.603615428262195,273.81055097192524
"('USM2', 'INDPRO')",2,Standard,CNN,50,Kalman,0.07900716220827025,0.2810821271590747,0.2359619477168783,-0.7426170274762656,47.94989820544263
"('USM2', 'INDPRO')",2,Standard,RNN,50,Kalman,1.8903790613651443,1.3749105648605455,1.284140172903325,-40.69503939447495,177.140460421065
"('USM2', 'INDPRO')",2,Standard,ANN,50,Kalman,0.8558192728529127,0.9251050063927406,0.8011626800945957,-17.87632963432434,126.0412040520777
"('USM2', 'INDPRO')",2,Standard,RANDOM_FOREST,N/A,Kalman,0.08265235789699737,0.28749323104552804,0.2577231118391426,-0.823017081067787,37.98521083452225
"('USM2', 'INDPRO')",2,Standard,XGBOOST,N/A,Kalman,0.08565977162059772,0.29267690653790523,0.26269175732040906,-0.8893499326337828,38.3943098648931
"('USM2', 'UNRATE')",2,MinMax,LSTM,50,Kalman,0.039264292266793524,0.19815219470597223,0.16448265276992327,-13.002394018504916,59.11360173860534
"('USM2', 'UNRATE')",2,MinMax,GRU,50,Kalman,0.04335347305512163,0.20821496837432613,0.1756473658304269,-14.460673725216832,64.36912632811304
"('USM2', 'UNRATE')",2,MinMax,CNN,50,Kalman,0.0018290784903032768,0.04276772720525696,0.032817505006310595,0.34771579383187656,14.142811151097648
"('USM2', 'UNRATE')",2,MinMax,RNN,50,Kalman,0.07098241591573129,0.26642525390009725,0.2625384936208694,-24.31368066649305,108.55195160631035
"('USM2', 'UNRATE')",2,MinMax,ANN,50,Kalman,0.068166673655119,0.26108748276223237,0.23685036392815995,-23.30953337867874,101.14779602800252
"('USM2', 'UNRATE')",2,MinMax,RANDOM_FOREST,N/A,Kalman,0.02781207015191208,0.1667695120575463,0.14674235841880642,-8.918313619184346,64.31641509901027
"('USM2', 'UNRATE')",2,MinMax,XGBOOST,N/A,Kalman,0.020653047685454142,0.14371168249468844,0.11746593357928682,-6.3652699355866025,52.643220475502325
"('USM2', 'UNRATE')",2,Standard,LSTM,50,Kalman,0.7069138264059446,0.8407816758266944,0.7434552714082587,-14.592005033746803,109.4327102786421
"('USM2', 'UNRATE')",2,Standard,GRU,50,Kalman,0.4589123418732134,0.6774306915642466,0.5821940174675054,-9.121974245311643,112.46234126012024
"('USM2', 'UNRATE')",2,Standard,CNN,50,Kalman,0.9138546830725429,0.9559574692801678,0.9101172862090481,-19.156384394153587,138.98483070083608
"('USM2', 'UNRATE')",2,Standard,RNN,50,Kalman,0.22424844919695697,0.4735487822779792,0.4429041547295738,-3.9461233011462067,72.84223406288069
"('USM2', 'UNRATE')",2,Standard,ANN,50,Kalman,0.3417779941371114,0.5846178188672592,0.5339286286873529,-6.53840709567555,98.58031411185429
"('USM2', 'UNRATE')",2,Standard,RANDOM_FOREST,N/A,Kalman,0.37409133762136626,0.6116300659887203,0.5362449155001581,-7.25112453794887,68.87596010004305
"('USM2', 'UNRATE')",2,Standard,XGBOOST,N/A,Kalman,0.3335029694058849,0.5774971596517899,0.47198722097068346,-6.355889478330814,59.012833364402816
"('USM2', 'USOIL')",2,MinMax,LSTM,50,Kalman,0.020698710537176812,0.14387046443650903,0.0990629029850511,-6.38155417770371,35.633420334531785
"('USM2', 'USOIL')",2,MinMax,GRU,50,Kalman,0.4308511789963484,0.6563925494674269,0.5819780100228128,-152.64973168627375,227.19983563061064
"('USM2', 'USOIL')",2,MinMax,CNN,50,Kalman,0.16874538817803242,0.4107863047595823,0.39066230841472677,-59.17781749431059,160.15183254267396
"('USM2', 'USOIL')",2,MinMax,RNN,50,Kalman,0.17344396036044826,0.41646603746337857,0.3151462601549285,-60.853417771925,119.72896649881423
"('USM2', 'USOIL')",2,MinMax,ANN,50,Kalman,0.479602951850614,0.6925337189268217,0.6239753896470038,-170.03554187655195,259.621771986322
