leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,data_type,mse,rmse,mae,r2,mape
"('USOIL',)",1,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.01385783495891067,0.11771930580372393,0.09429242435529217,0.15591603512644991,34.44342191921436
"('USOIL',)",1,MinMax,XGBOOST,N/A,NONE,RAW,0.014988961773104829,0.12242941547318123,0.09853590995948515,0.08701883661523002,37.71717253346573
"('USOIL',)",1,Standard,LSTM,50,NONE,RAW,0.6136783530327993,0.7833762525330975,0.6821256641094995,-0.07866424829691532,166.28395654630367
"('USOIL',)",1,Standard,GRU,50,NONE,RAW,0.9448257846366,0.9720214939169812,0.907266816574396,-0.660723063995889,254.5823257873677
"('USOIL',)",1,Standard,CNN,50,NONE,RAW,3.7396245049144876,1.9338108762013124,1.6762141279212426,-5.573149004802382,1902.8097276130557
"('USOIL',)",1,Standard,RNN,50,NONE,RAW,1.3416507670869957,1.158296493600406,1.0315367825371453,-1.358223504226368,661.1722149072291
"('USOIL',)",1,Standard,ANN,50,NONE,RAW,1.0420723727789316,1.020819461402912,0.8285035298336312,-0.8316536783471851,670.7295984370435
"('USOIL',)",1,Standard,RANDOM_FOREST,N/A,NONE,RAW,0.4845073273233102,0.6960656056172508,0.5560251025957161,0.14838004397783722,711.2411112730783
"('USOIL',)",1,Standard,XGBOOST,N/A,NONE,RAW,0.514952126020091,0.7176016485628297,0.5763927426074746,0.09486713165410932,867.020157448058
"('USM2', 'USPPIYY')",2,MinMax,LSTM,50,NONE,RAW,0.028693606013688644,0.16939187115587526,0.13401968008872692,-0.7477342458159646,44.25081889546963
"('USM2', 'USPPIYY')",2,MinMax,GRU,50,NONE,RAW,0.03188231903230959,0.1785562069274255,0.14184675933273017,-0.9419595007408545,47.19942990500671
"('USM2', 'USPPIYY')",2,MinMax,CNN,50,NONE,RAW,0.011553329724674752,0.10748641646587141,0.07551877289962644,0.29628398733206707,23.847720983317082
"('USM2', 'USPPIYY')",2,MinMax,RNN,50,NONE,RAW,0.0030398136068351313,0.05513450468477187,0.04280933432124778,0.8148442430334977,16.752679591223117
"('USM2', 'USPPIYY')",2,MinMax,ANN,50,NONE,RAW,0.010128969566677793,0.10064278198995591,0.07273992254396852,0.3830420973207357,28.15983040622677
"('USM2', 'USPPIYY')",2,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.00489259668769574,0.06994709920858577,0.05374744086864797,0.7019907927232201,19.827175657108896
"('USM2', 'USPPIYY')",2,MinMax,XGBOOST,N/A,NONE,RAW,0.0066982123577078315,0.08184260722696847,0.06098055587967412,0.5920103204271765,21.36252675419465
"('USM2', 'USPPIYY')",2,Standard,LSTM,50,NONE,RAW,0.602985135614366,0.7765211752517545,0.543720261368948,-0.05986874855095392,690.6653418591654
"('USM2', 'USPPIYY')",2,Standard,GRU,50,NONE,RAW,0.36086179938686647,0.6007177368672133,0.41061954215619867,0.3657121525453214,653.5405111281272
"('USM2', 'USPPIYY')",2,Standard,CNN,50,NONE,RAW,3.4543246452302605,1.8585813528684345,1.5352078478473168,-5.071676601279206,2069.583508290761
"('USM2', 'USPPIYY')",2,Standard,RNN,50,NONE,RAW,0.18237056453260056,0.4270486676394162,0.3701469391605466,0.6794467216728961,353.71136899497964
"('USM2', 'USPPIYY')",2,Standard,ANN,50,NONE,RAW,8.967574922435157,2.994590944091556,2.7148678060713562,-14.762332849041837,3322.190586051128
"('USM2', 'USPPIYY')",2,Standard,RANDOM_FOREST,N/A,NONE,RAW,0.16911139426978655,0.41123155796921346,0.3158962012652871,0.7027524042896898,563.8463475843783
"('USM2', 'USPPIYY')",2,Standard,XGBOOST,N/A,NONE,RAW,0.23716766551588114,0.4869986298911745,0.3719130644891623,0.5831296959070852,764.9255006427891
"('USM2', 'INDPRO')",2,MinMax,LSTM,50,NONE,RAW,0.03348014534937024,0.1829758053660927,0.14130680802565673,-1.0392834750039937,53.43904559170317
"('USM2', 'INDPRO')",2,MinMax,GRU,50,NONE,RAW,0.06692760222842649,0.25870369581516706,0.175129217030399,-3.076575887644343,51.8840372155229
"('USM2', 'INDPRO')",2,MinMax,CNN,50,NONE,RAW,0.06534336207232733,0.2556234771540504,0.20153116872882237,-2.9800794496194247,64.09493990458944
"('USM2', 'INDPRO')",2,MinMax,RNN,50,NONE,RAW,0.10945363333888299,0.330837774957581,0.2879810028308328,-5.666846377694379,100.7611939473999
"('USM2', 'INDPRO')",2,MinMax,ANN,50,NONE,RAW,0.01616179970291272,0.1271290671047055,0.07979014854280195,0.015581004307249513,25.532620448011617
"('USM2', 'INDPRO')",2,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.030193883708550088,0.17376387342756286,0.14573783525801476,-0.8391165107112268,60.37318579870261
"('USM2', 'INDPRO')",2,MinMax,XGBOOST,N/A,NONE,RAW,0.02667355805465671,0.16332041530273156,0.12455963384669926,-0.6246926526991399,49.86155653484946
"('USM2', 'INDPRO')",2,Standard,LSTM,50,NONE,RAW,0.5864225943099517,0.7657823413411619,0.5029997304802937,-0.030756720926512493,374.8442531937239
"('USM2', 'INDPRO')",2,Standard,GRU,50,NONE,RAW,1.377573393244271,1.1737007255873497,0.7747555167936138,-1.4213648100086127,983.0516630483908
"('USM2', 'INDPRO')",2,Standard,CNN,50,NONE,RAW,1.8649016037836714,1.3656140024852086,0.9244873915780126,-2.2779430407666856,1390.8523165868778
"('USM2', 'INDPRO')",2,Standard,RNN,50,NONE,RAW,1.6581411136138446,1.2876882827819178,0.9032234457296309,-1.9145195183231327,1085.745494040389
