leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,business_cycle_range,leads_lags,mse,rmse,mae,r2,mape
"('INDPRO',)",1,Standard,RNN,50,Baxter_King,6-32Q,12,1.099623674347193,1.048629426607509,0.8131170307672195,-0.03846137959510809,548.1659503645465
"('INDPRO',)",1,Standard,ANN,50,Baxter_King,6-32Q,12,1.6763230801170863,1.2947289600982463,0.9492022977737962,-0.5830841214463294,384.4197230402745
"('INDPRO',)",1,Standard,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,1.5669252124044522,1.251768833453067,0.9611517548089765,-0.479771085104993,981.3481999717782
"('INDPRO',)",1,Standard,XGBOOST,N/A,Baxter_King,6-32Q,12,1.7121596329068942,1.3084951787862629,0.996777498278566,-0.616927405215324,1004.6118665411161
"('UNRATE',)",1,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.012713040660744749,0.11275212042682278,0.08476576092735813,-0.01934200857365309,20.39229095433465
"('UNRATE',)",1,MinMax,GRU,50,Baxter_King,6-32Q,12,0.011045484529843125,0.10509750011224399,0.08011849025469377,0.11436400726024842,19.105387890628453
"('UNRATE',)",1,MinMax,CNN,50,Baxter_King,6-32Q,12,0.01145140109588753,0.10701121948603114,0.08621427312969773,0.0818172846636116,20.666288438560365
"('UNRATE',)",1,MinMax,RNN,50,Baxter_King,6-32Q,12,0.03319730336495674,0.1822012715788689,0.11995890011540006,-1.661786963031827,27.878923161474212
"('UNRATE',)",1,MinMax,ANN,50,Baxter_King,6-32Q,12,0.012783750136460426,0.11306524725334671,0.08898073092368167,-0.025011552227656164,20.90310135570531
"('UNRATE',)",1,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.012217172702032758,0.11053132000493235,0.08781573907151237,0.020417090331894316,20.537710104050966
"('UNRATE',)",1,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.013216146580563137,0.11496150042759157,0.09121185783880634,-0.05968145312656059,20.780002618917848
"('UNRATE',)",1,Standard,LSTM,50,Baxter_King,6-32Q,12,1.134644921910581,1.0651971281929842,0.7995817251835351,-0.07153470632337111,291.019666962952
"('UNRATE',)",1,Standard,GRU,50,Baxter_King,6-32Q,12,0.9681201022455144,0.9839309438398176,0.7377439023007374,0.08572781721121336,304.09679224413264
"('UNRATE',)",1,Standard,CNN,50,Baxter_King,6-32Q,12,3.7603693302960792,1.9391671744066006,1.1976476802144767,-2.551213395659798,653.1562731963621
"('UNRATE',)",1,Standard,RNN,50,Baxter_King,6-32Q,12,1.1651359536010282,1.079414634698376,0.821225295693432,-0.10032979283634336,327.14637283276005
"('UNRATE',)",1,Standard,ANN,50,Baxter_King,6-32Q,12,1.73785649259457,1.318277851059696,0.9125133959396884,-0.6411949769174046,269.25164265391436
"('UNRATE',)",1,Standard,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,1.032424466571977,1.0160829033951793,0.8075154722596881,0.025000133322369833,277.4566434019325
"('UNRATE',)",1,Standard,XGBOOST,N/A,Baxter_King,6-32Q,12,1.1250082638612142,1.060664067394203,0.8413318154225042,-0.062434049938746794,428.40367696176446
"('USOIL',)",1,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.007582823291162189,0.0870794079628599,0.06755634409508247,0.39200302032074685,15.447359347864055
"('USOIL',)",1,MinMax,GRU,50,Baxter_King,6-32Q,12,0.006227870837100174,0.07891686028410008,0.06182209710764611,0.5006442174113934,14.362534429532904
"('USOIL',)",1,MinMax,CNN,50,Baxter_King,6-32Q,12,0.006485472587240048,0.08053243189696961,0.061953371576556296,0.4799894981819903,13.500555591640811
"('USOIL',)",1,MinMax,RNN,50,Baxter_King,6-32Q,12,0.012699162369312057,0.11269056024934855,0.09076360317340484,-0.018229235804172905,20.116598739610303
"('USOIL',)",1,MinMax,ANN,50,Baxter_King,6-32Q,12,0.01827334888973616,0.13517895135610486,0.10298451758252854,-0.46517207469858035,23.65483589417789
"('USOIL',)",1,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.009793990958880578,0.09896459447135919,0.07832258228762833,0.21470978640033045,16.96977022775546
"('USOIL',)",1,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.010465710551828409,0.10230205546238262,0.08130948161580091,0.1608507594888562,17.708079278457337
"('USOIL',)",1,Standard,LSTM,50,Baxter_King,6-32Q,12,0.8969421733025158,0.947070310643574,0.8047629635919675,0.15294675038919348,1233.2126840429003
"('USOIL',)",1,Standard,GRU,50,Baxter_King,6-32Q,12,0.8467199503657583,0.9201738696386451,0.7365944009483257,0.20037555729279166,1845.722852275358
"('USOIL',)",1,Standard,CNN,50,Baxter_King,6-32Q,12,1.2567588207909381,1.121052550414537,0.8355773267740779,-0.1868564940016113,2058.0153167089106
"('USOIL',)",1,Standard,RNN,50,Baxter_King,6-32Q,12,0.6026647079698316,0.776314825293084,0.6450760612112217,0.43085617500625806,1040.6877891557222
"('USOIL',)",1,Standard,ANN,50,Baxter_King,6-32Q,12,1.0102776164088678,1.0051256719479749,0.784386814162473,0.04591515098759247,1069.9415825443618
"('USOIL',)",1,Standard,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.8289014338999828,0.9104402418061182,0.7170413348778844,0.2172029880066425,916.4567161992197
"('USOIL',)",1,Standard,XGBOOST,N/A,Baxter_King,6-32Q,12,0.8945444156241618,0.9458035819472042,0.7445203806825552,0.15521114211218578,1100.3151342700135
"('USM2', 'USPPIYY')",2,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.009414885795953294,0.09703033441122057,0.0678900734220044,0.24510674874405836,14.87745142522705
"('USM2', 'USPPIYY')",2,MinMax,GRU,50,Baxter_King,6-32Q,12,0.007485751622144807,0.08652023822288521,0.06625375512379496,0.3997863062168826,14.772302272072837
"('USM2', 'USPPIYY')",2,MinMax,CNN,50,Baxter_King,6-32Q,12,0.012884391809338468,0.11350943489128323,0.08692859249445052,-0.03308108395616616,19.407973267087602
"('USM2', 'USPPIYY')",2,MinMax,RNN,50,Baxter_King,6-32Q,12,0.021276843972690973,0.14586584237816258,0.10206812516772036,-0.7059947694653643,23.224222778500053
"('USM2', 'USPPIYY')",2,MinMax,ANN,50,Baxter_King,6-32Q,12,0.016017154669817173,0.12655889802703393,0.09689675089330585,-0.2842685749586713,20.23347697144301
"('USM2', 'USPPIYY')",2,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.004880271039181347,0.06985893671665314,0.05514412541493441,0.6086958725127274,12.251125001693755
"('USM2', 'USPPIYY')",2,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.006883660425367434,0.08296782765245474,0.06315873363609475,0.44806247131738886,13.341032921953037
"('USM2', 'USPPIYY')",2,Standard,LSTM,50,Baxter_King,6-32Q,12,1.03409529229513,1.0169047606807287,0.7533620493493989,0.023422240788764204,490.7344710778885
"('USM2', 'USPPIYY')",2,Standard,GRU,50,Baxter_King,6-32Q,12,0.830179753680201,0.9111420052221284,0.6947073759516047,0.21599576979781543,507.601333661926
"('USM2', 'USPPIYY')",2,Standard,CNN,50,Baxter_King,6-32Q,12,5.523021020414062,2.3501108527927066,1.4823177895936845,-4.215824433569872,758.1659601540534
"('USM2', 'USPPIYY')",2,Standard,RNN,50,Baxter_King,6-32Q,12,0.9376545480504564,0.9683256415330829,0.7430833029118252,0.11449884331549509,696.998090887819
"('USM2', 'USPPIYY')",2,Standard,ANN,50,Baxter_King,6-32Q,12,6.15655875687626,2.4812413741666206,1.5731676669586783,-4.81412409479049,892.8744456163085
"('USM2', 'USPPIYY')",2,Standard,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.4176158758595597,0.6462320603773537,0.5112226385201684,0.6056123847611804,446.3359142175998
"('USM2', 'USPPIYY')",2,Standard,XGBOOST,N/A,Baxter_King,6-32Q,12,0.5795050804844852,0.7612523106595377,0.5812145737162933,0.45272763818989614,590.7809652600404
"('USM2', 'INDPRO')",2,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.01203973236836391,0.10972571425314993,0.08415091829290122,0.03464440155905657,19.81693058927351
"('USM2', 'INDPRO')",2,MinMax,GRU,50,Baxter_King,6-32Q,12,0.014416645263727386,0.12006933523480251,0.09039566757498262,-0.15593842041254313,21.12547740385667
"('USM2', 'INDPRO')",2,MinMax,CNN,50,Baxter_King,6-32Q,12,0.031719570172099684,0.1780998881866569,0.13267043606059345,-1.543301105781794,29.74288672101274
"('USM2', 'INDPRO')",2,MinMax,RNN,50,Baxter_King,6-32Q,12,0.01957736067347913,0.13991912190075784,0.10710663412505918,-0.5697288071370021,23.246887037243063
"('USM2', 'INDPRO')",2,MinMax,ANN,50,Baxter_King,6-32Q,12,0.01474955207177886,0.12144773390960763,0.09074752864540483,-0.18263116083890396,22.097777632373912
"('USM2', 'INDPRO')",2,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.01841315351717279,0.1356950755081878,0.10690475766421836,-0.47638172418701297,24.238926788526303
"('USM2', 'INDPRO')",2,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.020215494059840942,0.1421812014994983,0.11240753351615802,-0.620894864506778,25.342812655206664
"('USM2', 'INDPRO')",2,Standard,LSTM,50,Baxter_King,6-32Q,12,3.458320528924273,1.8596560243561906,1.3596555845556384,-2.265964885378472,1025.3714864247054
"('USM2', 'INDPRO')",2,Standard,GRU,50,Baxter_King,6-32Q,12,2.436722973983978,1.5610006322817356,1.1756041840203932,-1.3011897254365041,1128.7757957888414
"('USM2', 'INDPRO')",2,Standard,CNN,50,Baxter_King,6-32Q,12,17.048196253937014,4.128946143259442,2.3883896668661593,-15.099956571034863,1412.0839969568422
"('USM2', 'INDPRO')",2,Standard,RNN,50,Baxter_King,6-32Q,12,1.603354144125259,1.266236211820393,1.0036780514437236,-0.5141737990283937,1106.7285983822198
"('USM2', 'INDPRO')",2,Standard,ANN,50,Baxter_King,6-32Q,12,1.8526663986348428,1.361126885574906,0.9980389012153568,-0.7496190279806434,431.4732205144537
"('USM2', 'INDPRO')",2,Standard,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,1.5778114926120574,1.2561096658381614,0.9896218830137716,-0.4900518582701945,1043.098603691568
"('USM2', 'INDPRO')",2,Standard,XGBOOST,N/A,Baxter_King,6-32Q,12,1.7585839787068542,1.3261161256492036,1.0446565774455907,-0.6607695771427766,879.3349315322881
"('USM2', 'UNRATE')",2,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.011284398433188075,0.10622804918282212,0.08199395371913511,0.0952076948869387,20.358754509698997
"('USM2', 'UNRATE')",2,MinMax,GRU,50,Baxter_King,6-32Q,12,0.011536485822627117,0.1074080342554835,0.07980077625221146,0.07499512161323474,19.6727464755026
"('USM2', 'UNRATE')",2,MinMax,CNN,50,Baxter_King,6-32Q,12,0.011149557665645677,0.10559146587506812,0.08465657639622659,0.10601933802505081,20.223127582046143
"('USM2', 'UNRATE')",2,MinMax,RNN,50,Baxter_King,6-32Q,12,0.01980498406067378,0.14073018176877972,0.09820927528195539,-0.5879798366816322,21.554276111363237
"('USM2', 'UNRATE')",2,MinMax,ANN,50,Baxter_King,6-32Q,12,0.019637349076813103,0.14013332607489593,0.09379378531286604,-0.5745387264299056,24.81811099397771
"('USM2', 'UNRATE')",2,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.02974982217737823,0.17248136762380517,0.1256019997827187,-1.385365098896902,26.825555898629833
"('USM2', 'UNRATE')",2,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.025394172866440853,0.1593554921125747,0.12201257628183393,-1.0361255710974797,25.62134427941636
